Game ID,Date,Away Team,Home Team,Away Roster,Home Roster,Away Score,Home Score,Away Goalie,Home Goalie
401560311,"11:00 PM, March 19, 2024",CBJ,DET,"T. Fix-Wolansky, J. Gaudreau, B. Gaunce, B. Jenner, K. Marchenko, C. Meyer, A. Nylander, M. Olivier, M. Pyyhtia, C. Sillinger, A. Texier, D. Voronkov, J. Bean, J. Christiansen, E. Gudbranson, I. Provorov, D. Severson, Z. Werenski","J.T. Compher, A. Copp, A. Czarnik, A. DeBrincat, R. Fabbri, C. Fischer, P. Kane, D. Perron, M. Rasmussen, L. Raymond, D. Sprong, J. Veleno, B. Chiarot, S. Edvinsson, S. Gostisbehere, O. Maatta, J. Petry, M. Seider",3,4,D. Tarasov,J. Reimer
401559410,"12:00 AM, November 7, 2023",TB,TOR,"A. Barre-Boulet, A. Cirelli, L. Glendening, B. Hagel, T. Jeannot, N. Kucherov, T. Motte, N. Paul, B. Point, C. Sheary, S. Stamkos, A. Watson, E. Cernak, V. Hedman, N. Perbix, D. Raddysh, M. Sergachev, C. de Haan","T. Bertuzzi, M. Domi, N. Gregor, C. Jarnkrok, D. Kampf, M. Knies, M. Marner, A. Matthews, W. Nylander, R. Reaves, N. Robertson, J. Tavares, S. Benoit, T. Brodie, M. Giordano, J. Klingberg, W. Lagesson, M. Rielly",5,6,J. Johansson,J. Woll
401560234,"3:00 AM, March 9, 2024",DAL,ANA,"J. Benn, T. Dellandrea, M. Duchene, R. Faksa, R. Hintz, W. Johnston, M. Marchment, J. Pavelski, J. Robertson, L. Stankoven, S. Steel, J. Hakanpaa, T. Harley, M. Heiskanen, E. Lindell, N. Lundkvist, R. Suter, C. Tanev","B. Groulx, R. Johnston, M. Jones, A. Killorn, B. Leason, I. Lundestrom, M. McTavish, B. Meyers, J. Silfverberg, R. Strome, T. Terry, F. Vatrano, C. Fowler, R. Gudas, G. Lindstrom, P. Mintyukov, U. Vaakanainen, O. Zellweger",6,2,J. Oettinger,J. Gibson
401559664,"12:30 AM, December 13, 2023",DET,STL,"J. Berggren, A. Copp, A. Czarnik, A. DeBrincat, R. Fabbri, C. Fischer, P. Kane, M. Rasmussen, L. Raymond, D. Sprong, J. Veleno, B. Chiarot, S. Gostisbehere, J. Holl, O. Maatta, J. Petry, M. Seider, J. Walman","S. Blais, P. Buchnevich, K. Hayes, K. Kapanen, J. Kyrou, H. McGing, J. Neighbours, B. Saad, B. Schenn, O. Sundqvist, R. Thomas, A. Toropchenko, J. Faulk, T. Krug, N. Leddy, C. Parayko, S. Perunovich, M. Scandella",6,4,V. Husso,J. Binnington
401559505,"2:00 AM, November 21, 2023",LA,ARI,"J. Anderson-Dolan, Q. Byfield, P. Danault, P. Dubois, K. Fiala, C. Grundstrom, A. Kaliyev, A. Kempe, A. Kopitar, A. Laferriere, T. Lewis, T. Moore, M. Anderson, D. Doughty, A. Englund, V. Gavrikov, M. Roy, J. Spence","N. Bjugstad, T. Boyd, M. Carcone, L. Cooley, L. Crouse, M. Kelemen, C. Keller, A. Kerfoot, M. Maccelli, L. O'Brien, N. Schmaltz, J. Zucker, J. Brown, M. Dumba, S. Durzi, M. Kesselring, J.J. Moser, T. Stecher",4,1,P. Copley,C. Ingram
401559625,"1:00 AM, December 8, 2023",DAL,WSH,"J. Benn, E. Dadonov, M. Duchene, R. Faksa, R. Hintz, W. Johnston, M. Marchment, J. Pavelski, J. Robertson, T. Seguin, C. Smith, S. Steel, J. Hakanpaa, T. Harley, M. Heiskanen, E. Lindell, N. Lundkvist, R. Suter","N. Aube-Kubel, N. Dowd, E. Kuznetsov, H. Lapierre, B. Malenstyn, A. Mantha, C. McMichael, A. Ovechkin, M. Phillips, A. Protas, D. Strome, T. Wilson, J. Carlson, J. Edmundson, M. Fehervary, N. Jensen, R. Sandin, T. van Riemsdyk",5,4,S. Wedgewood,C. Lindgren
401559366,"11:00 PM, October 30, 2023",SEA,TB,"P. Bellemare, M. Beniers, O. Bjorkstrand, J. Eberle, Y. Gourde, T. Kartye, J. McCann, J. Schwartz, D. Shore, E. Tolvanen, A. Wennberg, K. Yamamoto, W. Borgen, B. Dumoulin, V. Dunn, A. Larsson, J. Oleksiak, J. Schultz","A. Barre-Boulet, A. Cirelli, M. Eyssimont, L. Glendening, B. Hagel, T. Jeannot, N. Kucherov, W. Merela, N. Paul, B. Point, C. Sheary, S. Stamkos, E. Cernak, H. Fleury, V. Hedman, N. Perbix, D. Raddysh, M. Sergachev",4,3,P. Grubauer,J. Johansson
401559387,"2:00 AM, November 3, 2023",MTL,ARI,"J. Anderson, J. Armia, C. Caufield, J. Evans, B. Gallagher, R. Harvey-Pinard, S. Monahan, A. Newhook, T. Pearson, J. Slafkovsky, N. Suzuki, J. Ylonen, J. Barron, K. Guhle, J. Harris, J. Kovacevic, M. Matheson, A. Xhekaj","N. Bjugstad, M. Carcone, L. Cooley, L. Crouse, B. Hayton, C. Keller, A. Kerfoot, M. Maccelli, J. McBain, L. O'Brien, N. Schmaltz, J. Brown, T. Dermott, M. Dumba, S. Durzi, J.J. Moser, T. Stecher, J. Valimaki",2,3,J. Allen,C. Ingram
401559718,"12:00 AM, December 20, 2023",VGK,CAR,"M. Amadio, I. Barbashev, W. Carrier, P. Cotter, P. Dorofeyev, J. Eichel, B. Howden, W. Karlsson, J. Marchessault, N. Roy, C. Stephenson, M. Stone, N. Hague, B. Hutton, A. Martinez, B. McNabb, A. Pietrangelo, Z. Whitecloud","S. Aho, M. Bunting, J. Drury, J. Fast, S. Jarvis, J. Kotkaniemi, J. Martinook, M. Necas, S. Noesen, J. Staal, A. Svechnikov, T. Teravainen, B. Burns, J. Chatfield, D. Orlov, B. Pesce, B. Skjei, J. Slavin",3,6,L. Thompson,P. Kochetkov
401559400,"11:00 PM, November 4, 2023",MTL,STL,"J. Anderson, J. Armia, C. Caufield, C. Dvorak, J. Evans, B. Gallagher, S. Monahan, A. Newhook, T. Pearson, M. Pezzetta, J. Slafkovsky, N. Suzuki, J. Barron, K. Guhle, J. Harris, J. Kovacevic, M. Matheson, A. Xhekaj","S. Blais, P. Buchnevich, K. Hayes, K. Kapanen, J. Kyrou, J. Neighbours, B. Saad, B. Schenn, O. Sundqvist, R. Thomas, A. Toropchenko, J. Vrana, J. Faulk, T. Krug, N. Leddy, C. Parayko, M. Scandella, T. Tucker",3,6,S. Montembeault,J. Hofer
401559768,"2:30 AM, December 28, 2023",SEA,CGY,"M. Beniers, O. Bjorkstrand, J. Eberle, Y. Gourde, T. Kartye, J. McCann, D. Shore, B. Tanev, T. Tatar, E. Tolvanen, A. Wennberg, K. Yamamoto, W. Borgen, B. Dumoulin, V. Dunn, R. Evans, A. Larsson, J. Oleksiak","M. Backlund, B. Coleman, D. Dube, W. Duehr, A.J. Greer, J. Huberdeau, N. Kadri, E. Lindholm, A. Mangiapane, M. Pospisil, Y. Sharangovich, C. Zary, R. Andersson, N. DeSimone, D. Gilbert, N. Hanifin, C. Tanev, M. Weegar",2,1,C. Driedger,J. Markstrom
401559435,"3:30 AM, November 10, 2023",PIT,LA,"N. Acciari, J. Carter, S. Crosby, L. Eller, J. Guentzel, E. Malkin, M. Nieto, D. O'Connor, R. Rakell, B. Rust, R. Smith, R. Zohorna, R. Graves, E. Karlsson, K. Letang, M. Pettersson, C. Ruhwedel, R. Shea","Q. Byfield, P. Danault, P. Dubois, K. Fiala, C. Grundstrom, A. Kaliyev, A. Kempe, A. Kopitar, A. Laferriere, T. Lewis, B. Lizotte, T. Moore, M. Anderson, D. Doughty, A. Englund, V. Gavrikov, M. Roy, J. Spence",4,3,M. Hellberg,P. Copley
401560435,"12:00 AM, April 5, 2024",COL,MIN,"A. Cogliano, R. Colton, J. Drouin, B. Duhaime, J. Kiviranta, A. Lehkonen, N. MacKinnon, C. Mittelstadt, Z. Parise, M. Rantanen, C. Wagner, M. Wood, S. Girard, J. Johnson, C. Makar, J. Manson, D. Toews, S. Walker","A. Beckman, M. Boldy, J. Eriksson Ek, F. Gaudreau, M. Johansson, K. Kaprizov, M. Khusnutdinov, V. Lettieri, J. Lucchini, M. Rossi, M. Shaw, M. Zuccarello, J. Brodin, D. Chisholm, B. Faber, A. Goligoski, J. Merrill, J. Middleton",5,2,J. Annunen,F. Gustavsson
401560271,"2:30 AM, March 14, 2024",COL,VAN,"A. Cogliano, R. Colton, B. Duhaime, J. Kiviranta, N. MacKinnon, C. Mittelstadt, V. Nichushkin, F. Olofsson, M. Rantanen, Y. Trenin, M. Wood, S. Girard, J. Johnson, C. Jones, C. Makar, J. Manson, D. Toews, S. Walker","T. Blueger, B. Boeser, P. Di Giuseppe, C. Garland, N. Hoglander, S. Lafferty, E. Lindholm, I. Mikheyev, J.T. Miller, E. Pettersson, V. Podkolzin, P. Suter, I. Cole, F. Hronek, Q. Hughes, N. Juulsen, C. Soucy, N. Zadorov",4,3,A. Georgiev,C. DeSmith
401560228,"2:00 AM, March 8, 2024",MIN,ARI,"A. Beckman, M. Boldy, C. Dewar, J. Eriksson Ek, F. Gaudreau, R. Hartman, K. Kaprizov, V. Lettieri, J. Lucchini, M. Rossi, M. Shaw, M. Zuccarello, Z. Bogosian, J. Brodin, D. Chisholm, B. Faber, D. Mermis, J. Merrill","M. Carcone, L. Cooley, L. Crouse, D. Guenther, B. Hayton, C. Keller, A. Kerfoot, M. Maccelli, J. McBain, L. O'Brien, N. Schmaltz, J. Brown, T. Dermott, S. Durzi, M. Kesselring, P. Koch, J.J. Moser, J. Valimaki",5,2,M. Fleury,K. Vejmelka
