Game ID,Date,Away Team,Home Team,Away Roster,Home Roster,Away Score,Home Score,Away Goalie,Home Goalie
401559878,"3:00 AM, January 12, 2024",BOS,VGK,"J. Beecher, J. Boqvist, C. Coyle, J. DeBrusk, T. Frederic, M. Geekie, D. Heinen, J. Lauko, B. Marchand, D. Pastrnak, P. Zacha, J. van Riemsdyk, M. Grzelcyk, H. Lindholm, M. Lohrei, C. McAvoy, K. Shattenkirk, P. Wotherspoon","M. Amadio, I. Barbashev, P. Cotter, P. Dorofeyev, J. Eichel, B. Howden, K. Kolesar, J. Marchessault, J. Rondbjerg, N. Roy, C. Stephenson, M. Stone, N. Hague, K. Korczak, A. Martinez, B. McNabb, A. Pietrangelo, Z. Whitecloud",1,2,J. Swayman,L. Thompson
401560113,"3:00 AM, February 22, 2024",BOS,EDM,"J. Boqvist, J. Brazeau, C. Coyle, J. DeBrusk, T. Frederic, M. Geekie, D. Heinen, B. Marchand, D. Pastrnak, A. Richard, P. Zacha, J. van Riemsdyk, B. Carlo, D. Forbort, M. Grzelcyk, M. Lohrei, C. McAvoy, P. Wotherspoon","C. Brown, L. Draisaitl, W. Foegele, S. Gagner, D. Holloway, Z. Hyman, M. Janmark, E. Kane, C. McDavid, R. McLeod, C. Perry, D. Ryan, E. Bouchard, C. Ceci, V. Desharnais, M. Ekholm, B. Kulak, D. Nurse",6,5,J. Swayman,S. Skinner
401560184,"12:30 AM, March 3, 2024",BOS,NYI,"J. Boqvist, C. Coyle, J. DeBrusk, T. Frederic, M. Geekie, D. Heinen, J. Lauko, B. Marchand, M. McLaughlin, D. Pastrnak, P. Zacha, J. van Riemsdyk, B. Carlo, D. Forbort, M. Lohrei, C. McAvoy, K. Shattenkirk, P. Wotherspoon","M. Barzal, C. Cizikas, C. Clutterbuck, P. Engvall, S. Holmstrom, B. Horvat, A. Lee, K. MacLean, M. Martin, B. Nelson, J. Pageau, K. Palmieri, S. Aho, N. Dobson, A. Pelech, R. Pulock, M. Reilly, A. Romanov",1,5,L. Ullmark,I. Sorokin
401559501,"12:00 AM, November 21, 2023",BOS,PIM,"J. Beecher, C. Coyle, J. DeBrusk, T. Frederic, D. Heinen, J. Lauko, B. Marchand, D. Pastrnak, M. Poitras, O. Steen, P. Zacha, J. van Riemsdyk, B. Carlo, D. Forbort, H. Lindholm, M. Lohrei, C. McAvoy, I. Mitchell","A. Cirelli, M. Eyssimont, L. Glendening, B. Hagel, T. Jeannot, C. Koepke, N. Kucherov, T. Motte, N. Paul, B. Point, S. Stamkos, A. Watson, E. Cernak, V. Hedman, N. Perbix, D. Raddysh, M. Sergachev, C. de Haan",PN,5,J. Swayman,J. Johansson
401559257,"11:00 PM, October 14, 2023",NSH,BOS,"L. Evangelista, F. Forsberg, C. Glass, T. Novak, G. Nyquist, R. O'Reilly, J. Parssinen, K. Sherwood, C. Sissons, C. Smith, P. Tomasino, Y. Trenin, T. Barrie, A. Carrier, D. Fabbro, R. Josi, J. Lauzon, R. McDonagh","J. Beecher, C. Coyle, J. DeBrusk, T. Frederic, M. Geekie, J. Lauko, M. Lucic, B. Marchand, D. Pastrnak, M. Poitras, P. Zacha, J. van Riemsdyk, B. Carlo, D. Forbort, M. Grzelcyk, H. Lindholm, C. McAvoy, K. Shattenkirk",2,3,J. Saros,J. Swayman
401560153,"3:00 AM, February 27, 2024",BOS,SEA,"J. Boqvist, J. Brazeau, C. Coyle, J. DeBrusk, T. Frederic, M. Geekie, D. Heinen, B. Marchand, D. Pastrnak, A. Richard, P. Zacha, J. van Riemsdyk, B. Carlo, M. Grzelcyk, M. Lohrei, C. McAvoy, K. Shattenkirk, P. Wotherspoon","M. Beniers, O. Bjorkstrand, A. Burakovsky, J. Eberle, Y. Gourde, J. McCann, J. Schwartz, B. Tanev, T. Tatar, E. Tolvanen, A. Wennberg, K. Yamamoto, W. Borgen, B. Dumoulin, V. Dunn, A. Larsson, J. Oleksiak, J. Schultz",3,4,L. Ullmark,P. Grubauer
401559988,"5:30 PM, January 27, 2024",BOS,PHI,"J. Boqvist, P. Brown, C. Coyle, T. Frederic, M. Geekie, D. Heinen, J. Lauko, B. Marchand, D. Pastrnak, O. Steen, P. Zacha, J. van Riemsdyk, B. Carlo, M. Grzelcyk, H. Lindholm, C. McAvoy, K. Shattenkirk, P. Wotherspoon","C. Atkinson, N. Cates, S. Couturier, N. Deslauriers, J. Farabee, T. Foerster, M. Frost, G. Hathaway, T. Konecny, S. Laughton, O. Lycksell, R. Poehling, J. Drysdale, R. Ristolainen, T. Sanheim, N. Seeler, S. Walker, C. York",6,2,L. Ullmark,S. Ersson
401560082,"5:30 PM, February 17, 2024",BOS,PIM,"J. Anderson-Dolan, V. Arvidsson, Q. Byfield, P. Danault, P. Dubois, K. Fiala, A. Kempe, A. Kopitar, A. Laferriere, T. Lewis, T. Moore, A. Turcotte, M. Anderson, B. Clarke, D. Doughty, A. Englund, V. Gavrikov, M. Roy","J. Boqvist, C. Coyle, J. DeBrusk, T. Frederic, M. Geekie, D. Heinen, J. Lauko, B. Marchand, D. Pastrnak, A. Richard, P. Zacha, J. van Riemsdyk, B. Carlo, D. Forbort, M. Grzelcyk, H. Lindholm, C. McAvoy, K. Shattenkirk",PN,4,D. Rittich,L. Ullmark
401560420,"12:00 AM, April 3, 2024",BOS,NSH,"J. Beecher, J. Boqvist, J. Brazeau, C. Coyle, J. DeBrusk, T. Frederic, M. Geekie, D. Heinen, B. Marchand, D. Pastrnak, P. Zacha, J. van Riemsdyk, B. Carlo, H. Lindholm, M. Lohrei, C. McAvoy, A. Peeke, K. Shattenkirk","L. Evangelista, F. Forsberg, C. Glass, M. Jankowski, M. McCarron, T. Novak, G. Nyquist, R. O'Reilly, K. Sherwood, C. Sissons, C. Smith, J. Zucker, A. Carrier, R. Josi, J. Lauzon, R. McDonagh, L. Schenn, S. Stastney",3,0,L. Ullmark,J. Saros
401560138,"12:00 AM, February 25, 2024",BOS,VAN,"J. Boqvist, J. Brazeau, C. Coyle, J. DeBrusk, T. Frederic, M. Geekie, D. Heinen, B. Marchand, D. Pastrnak, A. Richard, P. Zacha, J. van Riemsdyk, B. Carlo, D. Forbort, M. Grzelcyk, M. Lohrei, C. McAvoy, P. Wotherspoon","A. Bains, T. Blueger, B. Boeser, P. Di Giuseppe, C. Garland, N. Hoglander, S. Lafferty, E. Lindholm, I. Mikheyev, J.T. Miller, E. Pettersson, P. Suter, I. Cole, F. Hronek, Q. Hughes, N. Juulsen, T. Myers, N. Zadorov",2,3,J. Swayman,T. Demko
